EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,SALARY,MANAGER_ID,DEPARTMENT_ID
125,Julia,Nayer,JNAYER,16-Jul-05,3200,120,50
126,Irene,Mikkilineni,IMIKKILI,28-Sep-06,2700,120,50
127,James,Landry,JLANDRY,14-Jan-07,2400,120,50
128,Steven,Markle,SMARKLE,08-Mar-08,2200,120,50
129,Laura,Bissot,LBISSOT,20-Aug-05,3300,121,50
130,Mozhe,Atkinson,MATKINSO,30-Oct-05,2800,121,50
131,James,Marlow,JAMRLOW,16-Feb-05,2500,121,50
132,TJ,Olson,TJOLSON,10-Apr-07,2100,121,50
133,Jason,Mallin,JMALLIN,14-Jun-04,3300,122,50
134,Michael,Rogers,MROGERS,26-Aug-06,2900,122,50
135,Ki,Gee,KGEE,12-Dec-07,2400,122,50
136,Hazel,Philtanker,HPHILTAN,06-Feb-08,2200,122,50
137,Renske,Ladwig,RLADWIG,14-Jul-03,3600,123,50
138,Stephen,Stiles,SSTILES,26-Oct-05,3200,123,50
139,John,Seo,JSEO,12-Feb-06,2700,123,50
140,Joshua,Patel,JPATEL,06-Apr-06,2500,123,50
141,Trenna,Rajs,TRAJS,17-Oct-03,3500,124,50
142,Curtis,Davies,CDAVIES,29-Jan-05,3100,124,50
143,Randall,Matos,RMATOS,15-Mar-06,2600,124,50
144,Peter,Vargas,PVARGAS,09-Jul-06,2500,124,50
145,John,Russell,JRUSSEL,01-Oct-04,14000,100,80
146,Karen,Partners,KPARTNER,05-Jan-05,13500,100,80
147,Alberto,Errazuriz,AERRAZUR,10-Mar-05,12000,100,80
148,Gerald,Cambrault,GCAMBRAU,15-Oct-07,11000,100,80
