EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,SALARY,MANAGER_ID,DEPARTMENT_ID
149,Eleni,Zlotkey,EZLOTKEY,29-Jan-08,10500,100,80
150,Peter,Tucker,PTUCKER,30-Jan-05,10000,145,80
151,David,Bernstein,DBERNSTE,24-Mar-05,9500,145,80
152,Peter,Hall,PHALL,20-Aug-05,9000,145,80
153,Christopher,Olsen,COLSEN,30-Mar-06,8000,145,80
154,Nanette,Cambrault,NCAMBRAU,09-Dec-06,7500,145,80
155,Oliver,Tuvault,OTUVAULT,23-Nov-07,7000,145,80
156,Janette,King,JKING,30-Jan-04,10000,146,80
157,Patrick,Sully,PSULLY,04-Mar-04,9500,146,80
158,Allan,McEwen,AMCEWEN,01-Aug-04,9000,146,80
159,Lindsey,Smith,LSMITH,10-Mar-05,8000,146,80
160,Louise,Doran,LDORAN,15-Dec-05,7500,146,80
161,Sarath,Sewall,SSEWALL,03-Nov-06,7000,146,80
162,Clara,Vishney,CVISHNEY,11-Nov-05,10500,147,80
163,Danielle,Greene,DGREENE,19-Mar-07,9500,147,80
164,Mattea,Marvins,MMARVINS,24-Jan-08,7200,147,80
165,David,Lee,DLEE,23-Feb-08,6800,147,80
166,Sundar,Ande,SANDE,24-Mar-08,6400,147,80
167,Amit,Banda,ABANDA,21-Apr-08,6200,147,80
168,Lisa,Ozer,LOZER,11-Mar-05,11500,148,80
169,Harrison,Bloom,HBLOOM,23-Mar-06,10000,148,80
170,Tayler,Fox,TFOX,24-Jan-06,9600,148,80
171,William,Smith,WSMITH,23-Feb-07,7400,148,80
172,Elizabeth,Bates,EBATES,24-Mar-07,7300,148,80
173,Sundita,Kumar,SKUMAR,21-Apr-08,6100,148,80
