EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,SALARY,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,17-Jun-03,24000,,90
101,Neena,Kochhar,NKOCHHAR,21-Sep-05,17000,100,90
102,Lex,De Haan,LDEHAAN,13-Jan-01,17000,100,90
103,Alexander,Hunold,AHUNOLD,03-Jan-06,9000,102,60
104,Bruce,Ernst,BERNST,21-May-07,6000,103,60
105,David,Austin,DAUSTIN,25-Jun-05,4800,103,60
106,Valli,Pataballa,VPATABAL,05-Feb-06,4800,103,60
107,Diana,Lorentz,DLORENTZ,07-Feb-07,4200,103,60
108,Nancy,Greenberg,NGREENBE,17-Aug-02,12008,101,100
109,Daniel,Faviet,DFAVIET,16-Aug-02,9000,108,100
110,John,Chen,JCHEN,28-Sep-05,8200,108,100
111,Ismael,Sciarra,ISCIARRA,30-Sep-05,7700,108,100
112,Jose Manuel,Urman,JMURMAN,07-Mar-06,7800,108,100
113,Luis,Popp,LPOPP,07-Dec-07,6900,108,100
114,Den,Raphaely,DRAPHEAL,07-Dec-02,11000,100,30
115,Alexander,Khoo,AKHOO,18-May-03,3100,114,30
116,Shelli,Baida,SBAIDA,24-Dec-05,2900,114,30
117,Sigal,Tobias,STOBIAS,24-Jul-05,2800,114,30
118,Guy,Himuro,GHIMURO,15-Nov-06,2600,114,30
119,Karen,Colmenares,KCOLMENA,10-Aug-07,2500,114,30
120,Matthew,Weiss,MWEISS,18-Jul-04,8000,100,50
121,Adam,Fripp,AFRIPP,10-Apr-05,8200,100,50
122,Payam,Kaufling,PKAUFLIN,01-May-03,7900,100,50
123,Shanta,Vollman,SVOLLMAN,10-Oct-05,6500,100,50
124,Kevin,Mourgos,KMOURGOS,16-Nov-07,5800,100,50
